"STATISTIC","Statistic Label","TLIST(W1)","Week","C02875V03459","Vehicle Type","UNIT","VALUE"
"TII02C01","Average Traffic Volume","2023M04D03","2023 April 03","22","Heavy goods vehicle","Number","1297"
"TII02C01","Average Traffic Volume","2023M04D03","2023 April 03","21","Light goods vehicle","Number","2477"
"TII02C01","Average Traffic Volume","2023M04D03","2023 April 03","-2","All buses","Number","139"
"TII02C01","Average Traffic Volume","2023M04D03","2023 April 03","80","Other vehicles","Number","164"
"TII02C01","Average Traffic Volume","2023M04D10","2023 April 10","-1","All cars","Number","15736"
"TII02C01","Average Traffic Volume","2023M04D10","2023 April 10","22","Heavy goods vehicle","Number","1295"
"TII02C01","Average Traffic Volume","2023M04D10","2023 April 10","21","Light goods vehicle","Number","2475"
"TII02C01","Average Traffic Volume","2023M04D10","2023 April 10","-2","All buses","Number","139"
"TII02C01","Average Traffic Volume","2023M04D10","2023 April 10","80","Other vehicles","Number","163"
"TII02C01","Average Traffic Volume","2023M04D17","2023 April 17","-1","All cars","Number","15754"
"TII02C01","Average Traffic Volume","2023M04D17","2023 April 17","22","Heavy goods vehicle","Number","1295"
"TII02C01","Average Traffic Volume","2023M04D17","2023 April 17","21","Light goods vehicle","Number","2477"
"TII02C01","Average Traffic Volume","2023M04D17","2023 April 17","-2","All buses","Number","139"
"TII02C01","Average Traffic Volume","2023M04D17","2023 April 17","80","Other vehicles","Number","165"
"TII02C01","Average Traffic Volume","2023M04D24","2023 April 24","-1","All cars","Number","16464"
"TII02C01","Average Traffic Volume","2023M04D24","2023 April 24","22","Heavy goods vehicle","Number","1325"
"TII02C01","Average Traffic Volume","2023M04D24","2023 April 24","21","Light goods vehicle","Number","2574"
"TII02C01","Average Traffic Volume","2023M04D24","2023 April 24","-2","All buses","Number","149"
"TII02C01","Average Traffic Volume","2023M04D24","2023 April 24","80","Other vehicles","Number","190"
"TII02C01","Average Traffic Volume","2023M05D01","2023 May 01","-1","All cars","Number","16326"
"TII02C01","Average Traffic Volume","2023M05D01","2023 May 01","22","Heavy goods vehicle","Number","1181"
"TII02C01","Average Traffic Volume","2023M05D01","2023 May 01","21","Light goods vehicle","Number","2388"
"TII02C01","Average Traffic Volume","2023M05D01","2023 May 01","-2","All buses","Number","146"
"TII02C01","Average Traffic Volume","2023M05D01","2023 May 01","80","Other vehicles","Number","197"
"TII02C01","Average Traffic Volume","2023M05D08","2023 May 08","-1","All cars","Number","16535"
"TII02C01","Average Traffic Volume","2023M05D08","2023 May 08","22","Heavy goods vehicle","Number","1314"
"TII02C01","Average Traffic Volume","2023M05D08","2023 May 08","21","Light goods vehicle","Number","2575"
"TII02C01","Average Traffic Volume","2023M05D08","2023 May 08","-2","All buses","Number","154"
"TII02C01","Average Traffic Volume","2023M05D08","2023 May 08","80","Other vehicles","Number","201"
"TII02C01","Average Traffic Volume","2023M05D15","2023 May 15","-1","All cars","Number","16545"
"TII02C01","Average Traffic Volume","2023M05D15","2023 May 15","22","Heavy goods vehicle","Number","1333"
"TII02C01","Average Traffic Volume","2023M05D15","2023 May 15","21","Light goods vehicle","Number","2590"
"TII02C01","Average Traffic Volume","2023M05D15","2023 May 15","-2","All buses","Number","155"
"TII02C01","Average Traffic Volume","2023M05D15","2023 May 15","80","Other vehicles","Number","210"
"TII02C01","Average Traffic Volume","2023M05D22","2023 May 22","-1","All cars","Number","16762"
"TII02C01","Average Traffic Volume","2023M05D22","2023 May 22","22","Heavy goods vehicle","Number","1344"
"TII02C01","Average Traffic Volume","2023M05D22","2023 May 22","21","Light goods vehicle","Number","2620"
"TII02C01","Average Traffic Volume","2023M05D22","2023 May 22","-2","All buses","Number","158"
"TII02C01","Average Traffic Volume","2023M05D22","2023 May 22","80","Other vehicles","Number","218"
"TII02C01","Average Traffic Volume","2023M05D29","2023 May 29","-1","All cars","Number","16768"
